filme,bilheteria
Star Wars: Episode I - The Phantom Menace,813711800
Star Wars: Episode III - Revenge of the Sith,534514500
Star Wars: Episode II - Attack of the Clones,481750900
Thor: The Dark World,222915200
Thor,202427300
Cold Mountain,138952800
Heat,138326800
Black Swan,121759500
V for Vendetta,96993100
No Strings Attached,80997500
Mars Attacks!,75711300
Where the Heart Is,56455200
Closer,48915900
L̩on: The Professional,42035000
Mr. Magorium's Wonder Emporium,41918200
Garden State,38856300
Brothers,33677800
The Other Boleyn Girl,33649400
Anywhere But Here,33049500
Annihilation,32175100
Your Highness,24141900
Beautiful Girls,21603100
Everyone Says I Love You,19157000
Jackie,14260500
Paris je t'aime,6416100
Jane Got a Gun,1589700
Goya's Ghosts,1310400
My Blueberry Nights,1088300
Vox Lux,7256
A Tale of Love and Darkness,6054
Knight of Cups,593
Song to Song,450
Hesher,4281
Eating Animals,1484
Free Zone,445
The Other Woman,291
Planetarium,33
